1	1	56.14	22.45
1	2	51.23	35.28
1	3	49.08	40.18
1	4	48.81	10.27
1	5	47.21	15.22
1	6	46.63	23.35
1	7	45.89	33.26
1	8	41.9	28.54
1	9	41.76	35.69
1	10	41.75	24.33
1	11	41.64	32.52
1	12	40.6800003051758	29.5200004577637
1	13	40.34	29.43
1	14	40.29	21.82
1	15	40.02	11.3
1	16	40.01	25.86
1	17	39.79	37.15
1	18	39.66	28.01
1	19	39.56	31.12
1	20	39.55	16.16
1	21	39.43	32.67
1	22	36.52	31.72
1	23	35.37	29.54
2	1	56.14	22.46
2	2	51.07	34.88
2	3	49.11	40
2	4	48.73	10.23
2	5	47.23	15.24
2	6	46.64	23.4
2	7	45.83	32.91
2	8	41.91	28.56
2	9	41.73	35.67
2	10	41.77	24.33
2	11	41.61	32.55
2	12	40.6800003051758	29.5100002288818
2	13	40.34	29.43
2	14	40.29	21.82
2	15	40.02	11.32
2	16	40.01	25.87
2	17	39.79	37.15
2	18	39.66	28
2	19	39.56	31.12
2	20	39.56	16.17
2	21	39.43	32.67
2	22	36.35	30.83
2	23	35.37	29.54
3	1	56.13	22.47
3	2	50.91	34.5
3	3	49.16	39.84
3	4	48.65	10.2
3	5	47.23	15.23
3	6	46.66	23.46
3	7	45.78	32.6
3	8	41.92	28.63
3	9	41.72	35.65
3	10	41.79	24.35
3	11	41.6	32.56
3	12	40.6800003051758	29.5100002288818
3	13	40.34	29.43
3	14	40.29	21.82
3	15	40.02	11.33
3	16	40.01	25.87
3	17	39.79	37.15
3	18	39.66	28
3	19	39.56	31.12
3	20	39.57	16.17
3	21	39.43	32.67
3	22	36.16	30.02
3	23	35.38	29.53
4	1	56.12	22.48
4	2	50.79	34.15
4	3	49.24	39.71
4	4	48.59	10.17
4	5	47.22	15.22
4	6	46.7	23.54
4	7	45.73	32.32
4	8	41.93	28.68
4	9	41.71	35.6
4	10	41.83	24.46
4	11	41.58	32.57
4	12	40.6800003051758	29.5100002288818
4	13	40.34	29.44
4	14	40.29	21.82
4	15	40.02	11.32
4	16	40.01	25.87
4	17	39.79	37.15
4	18	39.66	28
4	19	39.56	31.12
4	20	39.57	16.17
4	21	39.43	32.67
4	22	35.93	29.37
4	23	35.39	29.54
5	1	56.11	22.49
5	2	50.73	33.85
5	3	49.32	39.63
5	4	48.53	10.15
5	5	47.25	15.21
5	6	46.72	23.55
5	7	45.67	32.07
5	8	41.95	28.73
5	9	41.71	35.6
5	10	41.88	24.62
5	11	41.57	32.58
5	12	40.6800003051758	29.5100002288818
5	13	40.34	29.44
5	14	40.29	21.83
5	15	40.02	11.32
